MACID,PARTNUM,REVISION,WORKNO,LINEID,OPERTOR,BARCODE,TRESULT,TESTDATE,TESTTIME,FL01,FL02,FL03,FL04,FL05,FL06,FL07,FL08,FL09,FL10,SDATE,STIME,ITSDATE,ITSTIME,FPATH
YM64L,FHAPCE7,,test,Z24-109,F6662560,G5Y7272S84MJ25X9HZY1,FAIL,20170716,203817,X758FlexOpened,20170716,203735,763495,OT_H7,545,98.17,L39,,,20170716,203817,20170716,203737,FHAPCE7/20170716N/YM64L/OQC_FLEX_POR_AutoAlign_tester763495_4.0.0_N_0.csv
YM95L,FHAPCE7,,test,Z24-09,F1111112,G5Y7272S84MJ25X9HZY1,FAIL,20170724,212542,X758FlexOpened,20170724,212431,764593,OT_H7,38,84.21,L60,2,,20170724,212542,20170724,212432,FHAPCE7/20170724N/YM95L/OQC_FLEX_POR_AutoAlign_tester764593_4.0.0_N_0.csv
YM95R,FHAPCE7,,test,Z24-09,F1111112,G5Y7272S84MJ25X9HZY1,FAIL,20170724,212643,X758FlexOpened,20170724,212532,763580,OT_H7,42,85.71,L60,2,,20170724,212643,20170724,212533,FHAPCE7/20170724N/YM95R/OQC_FLEX_POR_AutoAlign_tester763580_4.0.0_N_0.csv
YM96R,FHAPCE7,,test,Z24-09,F1111112,G5Y7272S84MJ25X9HZY1,FAIL,20170724,212338,X758FlexOpened,20170724,212308,764803,OT_H7,38,86.84,L60,2,,20170724,212338,20170724,212309,FHAPCE7/20170724N/YM96R/OQC_FLEX_POR_AutoAlign_tester764803_4.0.0_N_0.csv
YM05L,FHAPCE7,,test,Z24-109,F6662560,G5Y7272S84MJ25X9HZY1,FAIL,20170725,81050,X758FlexOpened,20170725,81124,762966,OT_H7,0,0,L4,3,,20170725,81050,20170725,81125,FHAPCE7/20170725D/YM05L/OQC_FLEX_POR_AutoAlign_tester762966_4.0.0_D_0.csv
YM05R,FHAPCE7,,test,Z24-109,F6662560,G5Y7272S84MJ25X9HZY1,FAIL,20170725,80849,X758FlexOpened,20170725,80919,762943,OT_H7,0,0,L4,2,,20170725,80849,20170725,80920,FHAPCE7/20170724N/YM05R/OQC_FLEX_POR_AutoAlign_tester762943_4.0.0_N_0.csv
YM03R,FHAPCE7,,test,Z24-109,F6662560,G5Y7272S84MJ25X9HZY1,FAIL,20170725,80909,X758FlexOpened,20170725,81007,762960,OT_H7,0,0,L4,3,,20170725,80909,20170725,81008,FHAPCE7/20170724N/YM03R/OQC_FLEX_POR_AutoAlign_tester762960_4.0.0_N_0.csv
YM03L,FHAPCE7,,test,Z24-109,F6662560,G5Y7272S84MJ25X9HZY1,FAIL,20170725,80948,X758FlexOpened,20170725,81049,762945,OT_H7,0,0,L4,3,,20170725,80948,20170725,81049,FHAPCE7/20170725D/YM03L/OQC_FLEX_POR_AutoAlign_tester762945_4.0.0_D_0.csv
YM75R,FHAPCE7,,test,Z24-109,F6662560,G5Y7272S84MJ25X9HZY1,FAIL,20170724,211522,X758FlexOpened,20170724,211537,763859,OT_H7,31,87.1,L59,0,,20170724,211522,20170724,211538,FHAPCE7/20170724N/YM75R/OQC_FLEX_POR_AutoAlign_tester763859_4.0.0_N_0.csv
YM05L,FHAPCE7,,test,Z24-109,F6662560,G5Y7272S84MJ25X9HZY1,FAIL,20170724,210945,X758FlexOpened,20170724,211024,762966,OT_H7,37,100,L4,3,,20170724,210945,20170724,211025,FHAPCE7/20170724N/YM05L/OQC_FLEX_POR_AutoAlign_tester762966_4.0.0_N_0.csv
YM103L,FHAPCE7,,test,Z24-109,F6662560,G5Y7272S84MJ25X9HZY1,FAIL,20170724,211624,X758FlexOpened,20170724,211639,764660,OT_H7,32,78.12,L59,0,,20170724,211624,20170724,211640,FHAPCE7/20170724N/YM103L/OQC_FLEX_POR_AutoAlign_tester764660_4.0.0_N_0.csv
tester,FHAPCE7,,test,Z24-109,F6662560,G5Y7272S84MJ25X9HZY1,FAIL,20170724,205517,X758FlexOpened,20170724,205540,763248,OT_H7,41,97.56,L38,0,,20170724,205517,20170724,205541,FHAPCE7/20170724N/tester/OQC_FLEX_POR_AutoAlign_tester763248_4.0.0_N_0.csv
tester,FHAPCE7,,test,Z24-109,F6662560,G5Y7272S84MJ25X9HZY1,FAIL,20170724,205551,X758FlexOpened,20170724,205620,763499,OT_H7,42,92.86,L38,0,,20170724,205551,20170724,205622,FHAPCE7/20170724N/tester/OQC_FLEX_POR_AutoAlign_tester763499_4.0.0_N_0.csv
YM103R,FHAPCE7,,test,Z24-109,F6662560,G5Y7272S84MJ25X9HZY1,FAIL,20170724,211659,X758FlexOpened,20170724,211710,764501,OT_H7,31,64.52,L59,0,,20170724,211659,20170724,211711,FHAPCE7/20170724N/YM103R/OQC_FLEX_POR_AutoAlign_tester764501_4.0.0_N_0.csv
YM75L,FHAPCE7,,test,Z24-109,F6662560,G5Y7272S84MJ25X9HZY1,FAIL,20170724,211455,X758FlexOpened,20170724,211506,764138,OT_H7,27,100,L59,0,,20170724,211455,20170724,211507,FHAPCE7/20170724N/YM75L/OQC_FLEX_POR_AutoAlign_tester764138_4.0.0_N_0.csv
YM102R,FHAPCE7,,test,Z24-109,F6662560,G5Y7272S84MJ25X9HZY1,FAIL,20170725,203621,X758FlexOpened,20170725,203504,763746,OT_H7,0,0,L62,2,,20170725,203621,20170725,203505,FHAPCE7/20170725D/YM102R/OQC_FLEX_POR_AutoAlign_tester763746_4.0.0_D_0.csv
YM98L,FHAPCE7,,test,Z24-109,F6662560,G5Y7272S84MJ25X9HZY1,FAIL,20170725,203245,X758FlexOpened,20170725,203309,763824,OT_H7,0,0,L62,2,,20170725,203245,20170725,203310,FHAPCE7/20170725N/YM98L/OQC_FLEX_POR_AutoAlign_tester763824_4.0.0_N_0.csv
YM98R,FHAPCE7,,test,Z24-109,F6662560,G5Y7272S84MJ25X9HZY1,FAIL,20170725,203101,X758FlexOpened,20170725,203124,763789,OT_H7,0,0,L62,0,,20170725,203101,20170725,203125,FHAPCE7/20170725D/YM98R/OQC_FLEX_POR_AutoAlign_tester763789_4.0.0_D_0.csv
YM102L,FHAPCE7,,test,Z24-109,F6662560,G5Y7272S84MJ25X9HZY1,FAIL,20170725,203652,X758FlexOpened,20170725,203545,764239,OT_H7,0,0,L62,3,,20170725,203652,20170725,203546,FHAPCE7/20170725D/YM102L/OQC_FLEX_POR_AutoAlign_tester764239_4.0.0_D_0.csv
YM73R,FHAPCE7,,test,Z24-109,F6674715,G5Y7272S84MJ25X9HZY1,FAIL,20170713,90036,X758FlexOpened,20170713,90008,763787,OT_H7,,,,,,20170713,90036,20170713,90009,FHAPCE7/20170712N/YM73R/OQC_FLEX_POR_AutoAlign_tester763787_4.0.0_N_0.csv
YM73L,FHAPCE7,,test,Z24-109,F6674715,G5Y7272S84MJ25X9HZY1,FAIL,20170713,90150,X758FlexOpened,20170713,90120,763767,OT_H7,,,,,,20170713,90150,20170713,90120,FHAPCE7/20170713D/YM73L/OQC_FLEX_POR_AutoAlign_tester763767_4.0.0_D_0.csv
YM69L,FHAPCE7,,test,Z24-109,F6662560,G5Y7272S84MJ25X9HZY1,FAIL,20170713,91601,X758FlexOpened,20170713,91536,763964,OT_H7,,,,,,20170713,91601,20170713,91537,FHAPCE7/20170713D/YM69L/OQC_FLEX_POR_AutoAlign_tester763964_4.0.0_D_0.csv
YM64L,FHAPCE7,,test,Z24-109,F6662560,G5Y7272S84MJ25X9HZY1,FAIL,20170713,91429,X758FlexOpened,20170713,91354,763495,OT_H7,,,,,,20170713,91429,20170713,91355,FHAPCE7/20170713D/YM64L/OQC_FLEX_POR_AutoAlign_tester763495_4.0.0_D_0.csv
YM67R,FHAPCE7,,test,Z24-109,F6674715,G5Y7272S84MJ25X9HZY1,FAIL,20170713,85851,X758FlexOpened,20170713,85936,763659,OT_H7,,,,,,20170713,85851,20170713,85936,FHAPCE7/20170713D/YM67R/OQC_FLEX_POR_AutoAlign_tester763659_4.0.0_D_0.csv
tester,FHAPCE7,,test,Z24-109,F6671843,G5Y7272S84MJ25X9HZY1,FAIL,20170713,90905,X758FlexOpened,20170713,90907,763499,OT_H7,,,,,,20170713,90905,20170713,90908,FHAPCE7/20170713D/tester/OQC_FLEX_POR_AutoAlign_tester763499_4.0.0_D_0.csv
tester,FHAPCE7,,test,Z24-109,F6671843,G5Y7272S84MJ25X9HZY1,FAIL,20170713,90757,X758FlexOpened,20170713,90806,763248,OT_H7,,,,,,20170713,90757,20170713,90807,FHAPCE7/20170713D/tester/OQC_FLEX_POR_AutoAlign_tester763248_4.0.0_D_0.csv
YM67L,FHAPCE7,,test,Z24-109,F6674715,G5Y7272S84MJ25X9HZY1,FAIL,20170713,90004,X758FlexOpened,20170713,90048,763941,OT_H7,,,,,,20170713,90004,20170713,90048,FHAPCE7/20170713D/YM67L/OQC_FLEX_POR_AutoAlign_tester763941_4.0.0_D_0.csv
YM58L,FHAPCE7,,test,Z24-109,F6671843,G5Y7272S84MJ25X9HZY1,FAIL,20170713,90654,X758FlexOpened,20170713,90723,764244,OT_H7,,,,,,20170713,90654,20170713,90724,FHAPCE7/20170713D/YM58L/OQC_FLEX_POR_AutoAlign_tester764244_4.0.0_D_0.csv
tester,FHAPCE7,,test,Z24-109,F6671843,G5Y7272S84MJ25X9HZY1,FAIL,20170713,90616,X758FlexOpened,20170713,90641,763675,OT_H7,,,,,,20170713,90616,20170713,90642,FHAPCE7/20170713D/tester/OQC_FLEX_POR_AutoAlign_tester763675_4.0.0_D_0.csv
YM64R,FHAPCE7,,test,Z24-109,F6662560,G5Y7272S84MJ25X9HZY1,FAIL,20170713,91353,X758FlexOpened,20170713,91323,763888,OT_H7,,,,,,20170713,91353,20170713,91325,FHAPCE7/20170713D/YM64R/OQC_FLEX_POR_AutoAlign_tester763888_4.0.0_D_0.csv
YM03L,FHAPCE7,,test,Z24-109,F6674259,G5Y7272S84MJ25X9HZY1,FAIL,20170717,93205,X758FlexOpened,20170717,102044,762945,OT_H7,1,100,L4,,,20170717,93205,20170717,102045,FHAPCE7/20170717D/YM03L/OQC_FLEX_POR_AutoAlign_tester762945_4.0.0_D_0.csv
YM05L,FHAPCE7,,test,Z24-109,F6674259,G5Y7272S84MJ25X9HZY1,FAIL,20170717,93144,X758FlexOpened,20170717,102327,762966,OT_H7,0,0,L4,,,20170717,93144,20170717,102328,FHAPCE7/20170717D/YM05L/OQC_FLEX_POR_AutoAlign_tester762966_4.0.0_D_0.csv
YM05R,FHAPCE7,,test,Z24-109,F6674259,G5Y7272S84MJ25X9HZY1,FAIL,20170717,93108,X758FlexOpened,20170717,102328,762943,OT_H7,0,0,L4,,,20170717,93108,20170717,102329,FHAPCE7/20170717D/YM05R/OQC_FLEX_POR_AutoAlign_tester762943_4.0.0_D_0.csv
YM98R,FHAPCE7,,test,Z24-109,F6662560,G5Y7272S84MJ25X9HZY1,FAIL,20170722,85343,X758FlexOpened,20170722,85214,763789,OT_H7,0,0,L62,3,,20170722,85343,20170722,85215,FHAPCE7/20170721N/YM98R/OQC_FLEX_POR_AutoAlign_tester763789_4.0.0_N_0.csv
tester,FHAPCE7,,test,Z24-109,F6662560,G5Y7272S84MJ25X9HZY1,FAIL,20170722,84328,X758FlexOpened,20170722,84301,763499,OT_H7,0,0,L38,0,,20170722,84328,20170722,84301,FHAPCE7/20170722D/tester/OQC_FLEX_POR_AutoAlign_tester763499_4.0.0_D_0.csv
tester,FHAPCE7,,test,Z24-109,F6662560,G5Y7272S84MJ25X9HZY1,FAIL,20170722,84226,X758FlexOpened,20170722,84147,763248,OT_H7,0,0,L38,0,,20170722,84226,20170722,84148,FHAPCE7/20170721N/tester/OQC_FLEX_POR_AutoAlign_tester763248_4.0.0_N_0.csv
YM98L,FHAPCE7,,test,Z24-109,F6662560,G5Y7272S84MJ25X9HZY1,FAIL,20170722,85236,X758FlexOpened,20170722,85103,763824,OT_H7,0,0,L62,2,,20170722,85236,20170722,85104,FHAPCE7/20170721N/YM98L/OQC_FLEX_POR_AutoAlign_tester763824_4.0.0_N_0.csv
